"","20001","Interfictions","Interfictions: An Anthology of Interstitial Writing","Delia Sherman","2007","Short Stories","Fantasy","Fiction","3.77","234","2022/05/10"
"","20002","The World of Riverside","The Fall of the Kings","Ellen Kushner","2002","Fantasy","Fiction","Romance","3.66","2201","2022/05/10"
"","20003","","Discoveries of the Truth","Diane E. Wirth","","","","","0.0","0","2022/05/10"
"","20004","","Parallels: Mesoamerican and Ancient Middle Eastern Traditions","Diane E. Wirth","","","","","4.5","2","2022/05/10"
"","20005","","","","","","","","","","2022/05/10"
"","20006","","","","","","","","","","2022/05/10"
"","20007","","","","","","","","","","2022/05/10"
"","20008","","Dr. Babasaheb Ambedkar Vasant Moon","Vasant Moon","","","","","3.75","16","2022/05/10"
"","20009","","Growing Up Untouchable in India: A Dalit Autobiography","Vasant Moon","","Politics","Autobiography","Memoir","3.83","23","2022/05/10"
"","20010","","Manikata Church - Richard England","Chris Abel","1995","","","","4.0","1","2022/05/10"
"","20011","","The Outsiders : A Unit Plan (Litplans on CD)","Mary B. Collins","1996","","","","4.5","2","2022/05/10"
"","20012","","The Pearl : A Unit Plan (Litplans on CD)","Mary B. Collins","1996","","","","3.0","2","2022/05/10"
"","20013","","Animal Farma Unit Plan Based On The Book By George Orwell","Mary B. Collins","1996","","","","3.67","3","2022/05/10"
"","20014","","Anne Frank Diary of a Young Girl : A Unit Plan (Litplans on CD)","Mary B. Collins","1994","","","","4.67","3","2022/05/10"
"","20015","","Hound of the Baskervilles : A Unit Plan (Litplans on CD)","Mary B. Collins","1996","","","","5.0","1","2022/05/10"
"","20016","","The Great Gatsby : A Unit Plan (Litplans on CD)","Mary B. Collins","","","","","0.0","0","2022/05/10"
"","20017","Bill Slider","The Bill Slider Omnibus","Cynthia Harrod-Eagles","1998","Mystery","","","4.23","52","2022/05/10"
"","20018","Bill Slider","Dear Departed","Cynthia Harrod-Eagles","2005","Mystery","Mystery","Crime","3.97","419","2022/05/10"
"","20019","Bill Slider","Killing Time","Cynthia Harrod-Eagles","1996","Mystery","Fiction","Mystery","4.02","311","2022/05/10"
"","20020","Bill Slider","Death Watch","Cynthia Harrod-Eagles","1992","Mystery","Mystery","Crime","3.87","412","2022/05/10"
"","20021","Morland Dynasty","The Tangled Thread","Cynthia Harrod-Eagles","","Historical","Historical Fiction","Historical","4.33","403","2022/05/10"
"","20022","Morland Dynasty","The Flood-Tide","Cynthia Harrod-Eagles","1986","Historical","Historical Fiction","Historical","4.24","423","2022/05/10"
"","20023","Morland Dynasty","The White Road","Cynthia Harrod-Eagles","2006","Historical","Historical Fiction","Historical","4.3","294","2022/05/10"
"","20024","Morland Dynasty","The Maiden","Cynthia Harrod-Eagles","","Historical","Historical Fiction","Historical","4.28","466","2022/05/10"
"","20025","Morland Dynasty","The Oak Apple","Cynthia Harrod-Eagles","1982","Historical","Historical Fiction","Historical","4.19","644","2022/05/10"
"","20026","Morland Dynasty","The Emperor","Cynthia Harrod-Eagles","1988","Historical","Historical Fiction","Historical","4.3","387","2022/05/10"
"","20027","","Death Rode a White Horse","Luther Butler","2000","","","","5.0","1","2022/05/10"
"","20028","","The Mysterious Valley","Luther Butler","","","","","5.0","1","2022/05/10"
"","20029","","I Knew a Man Who Had 6 Sons and Squash Blossom, Book 5 ('la Plata County Series)","Luther Butler","","","","","4.5","4","2022/05/10"
"","20030","","Woman in the Attic Window","Luther Butler","2000","","","","5.0","1","2022/05/10"
"","20031","","Tuck","Luther Butler","2001","","","","5.0","3","2022/05/10"
"","20032","","The Apostate","Luther Butler","2000","","","","4.33","3","2022/05/10"
"","20033","","AIDS--No Place to Die","Luther Butler","2000","","","","4.5","2","2022/05/10"
"","20034","","Homesteaders & Sheepherders and D.H., Book Four ('la Plata County Series)","Luther Butler","","","","","4.5","2","2022/05/10"
"","20035","","Indians & Soldiers and Ranchers & Rustlers","Luther Butler","","","","","5.0","4","2022/05/10"
"","20036","","A Guide for Using the Outsiders in the Classroom","John Carratello","1992","","","","5.0","1","2022/05/10"
