"id","series","title","author","genre1","genre2","genre3","rating","count","date"
"201","Time Quintet","Una arruga en el tiempo – A Wrinkle in Time","Madeleine L'Engle","Fantasy","Fiction","Classics","3.99","1114950","2022/03/18"
"202","","The Long Shadow of Little Rock: A Memoir","Daisy Bates","History","Nonfiction","Biography","4.18","225","2022/03/18"
"203","","The Long Shadow of Temperament","Jerome Kagan","Psychology","Parenting","","4.18","22","2022/03/18"
"204","Morland Dynasty","The Long Shadow","Cynthia Harrod-Eagles","Historical","Historical Fiction","Historical","4.14","511","2022/03/18"
"205","Inspector Ian Rutledge","A Long Shadow","Charles Todd","Mystery","Historical","Historical Fiction","4.14","4672","2022/03/18"
"206","","Vicksburg's Long Shadow: The Civil War Legacy of Race and Remembrance","Christopher Waldrep","History","","","3.29","14","2022/03/18"
"207","","Long Way Round: Chasing Shadows Across the World","Ewan McGregor","Travel","Nonfiction","Adventure","3.96","10187","2022/03/18"
"208","Long Price Quartet","A Shadow in Summer","Daniel Abraham","Fantasy","Fiction","Fantasy","3.62","11991","2022/03/18"
"209","","The Long Shadow","Clois G. Long","","","","4.5","4","2022/03/18"
"210","","Long Shadows: Truth, Lies and History","Erna Paris","History","Nonfiction","Cultural","4.2","90","2022/03/18"
"211","","","","","","","","","2022/03/18"
"212","","The Collected Memoirs of Charles Willeford: I Was Looking for a Street/Something About a Soldier","Charles Willeford","","","","4.3","23","2022/03/18"
"213","Hoke Moseley","New Hope for the Dead","Charles Willeford","Mystery","Crime","Fiction","3.85","1378","2022/03/18"
"214","Hoke Moseley","Sideswipe","Charles Willeford","Mystery","Crime","Fiction","4.04","1115","2022/03/18"
"215","Hoke Moseley","The Way We Die Now","Charles Willeford","Mystery","Crime","Fiction","4.07","948","2022/03/18"
"216","Hoke Moseley","Miami Blues","Charles Willeford","Mystery","Crime","Fiction","3.92","4133","2022/03/18"
"217","","Charles Willeford Omnibus: Pick Up/Burnt Orange Heresy/Cockfighter","Charles Willeford","Fiction","","","4.33","45","2022/03/18"
"218","","The Woman Chaser","Charles Willeford","Fiction","Mystery","Crime","3.92","663","2022/03/18"
