"","15001","","What Though the Odds: The Story of Notre Dame Tennis: The Story of Notre Dame Tennis","Thomas W. Fallon","","","","","3.0","1","2022/04/06"
"","15002","","Jericho Road Or the Philosophy of Odd Fellowship","Thomas Galphin Andrews","1937","","","","4.0","1","2022/04/06"
"","15003","","Rape: A Love Story","Joyce Carol Oates","2003","Fiction","Contemporary","Mystery","3.59","5002","2022/04/06"
"","15004","","First Love: A Gothic Tale","Joyce Carol Oates","1996","Fiction","Gothic","Novella","3.2","774","2022/04/06"
"","15005","","New German Cinema: A History","Thomas Elsaesser","1989","Culture","Film","","3.9","31","2022/04/06"
"","15006","","The New German Cinema: Music, History, and the Matter of Style","Caryl Flinn","2003","Culture","Film","Philosophy","3.73","11","2022/04/06"
"","15007","Contemporary Approaches to Film and Media","German Cinema: Texts in Context","Marc Silberman","1995","","","","0.0","0","2022/04/06"
"","15008","","New German Cinema: The Images of a Generation","Julia Knight","2004","Nonfiction","","","3.67","15","2022/04/06"
"","15009","","German National Cinema","Sabine Hake","2001","Culture","Film","Nonfiction","3.37","43","2022/04/06"
"","15010","","German Culture Through Film","Robert C. Reimer","","Culture","Film","","3.57","21","2022/04/06"
"","15011","Questions for Feminism","Women and the New German Cinema","Julia Knight","1992","Culture","Film","Feminism","3.63","8","2022/04/06"
"","15012","","The Haunted Screen: Expressionism in the German Cinema and the Influence of Max Reinhardt","Lotte H. Eisner","1952","Culture","Film","Nonfiction","4.18","385","2022/04/06"
"","15013","","The Haunted Screen: Ghosts in Literature and Film","Lee Kovacs","1999","Culture","Film","","3.0","3","2022/04/06"
"","15014","","Crucial Conversations: Tools for Talking When Stakes Are High","Kerry Patterson","","Business","Nonfiction","Leadership","4.04","58961","2022/04/06"
"","15015","Conversations with God","Conversations with God: An Uncommon Dialogue, Book 1","Neale Donald Walsch","1995","Spirituality","Nonfiction","Religion","4.18","34156","2022/04/06"
"","15016","Conversations with God","The Complete Conversations with God: An Uncommon Dialogue","Neale Donald Walsch","1998","Spirituality","Nonfiction","Religion","4.25","6377","2022/04/06"
"","15017","","Fierce Conversations: Achieving Success at Work and in Life One Conversation at a Time","Susan Scott","2002","Business","Nonfiction","Leadership","4.0","8490","2022/04/06"
