"id","series","title","author","genre1","genre2","genre3","rating","count","date"
"51","","Hatchet: A Guide for Using ""Hatchet"" in the Classroom","Donna Ickes","","","","3.97","38","2022/03/18"
"52","Brian's Saga","El hacha","Gary Paulsen","Young Adult","Fiction","Adventure","3.75","345789","2022/03/18"
"53","Brian's Saga)","Guts: The True Stories behind Hatchet and the Brian Books","Gary Paulsen","Nonfiction","Biography","Adventure","3.89","2687","2022/03/18"
"54","","Molly Hatchet - 5 of the Best","Molly Hatchet","","","","3.86","7","2022/03/18"
"55","","Hatchet Jobs: Writings on Contemporary Fiction","Dale Peck","Nonfiction","Writing","Essays","3.5","129","2022/03/18"
"56","","The Woodsman and His Hatchet: Eighty Years on Back Country Survival","Bud Cheff Sr.","","","","3.6","10","2022/03/18"
"57","Changeling Seasons","A Changeling for All Seasons","Angela Knight","Romance","Fantasy","Paranormal","3.74","171","2022/03/18"
"58","Changeling","Changeling","Delia Sherman","Fantasy","Young Adult","Fantasy","3.6","1076","2022/03/18"
"59","","The Changeling Sea","Patricia A. McKillip","Fantasy","Young Adult","Romance","4.07","5235","2022/03/18"
"60","Twins of Petaybee","Changelings","Anne McCaffrey","Science Fiction","Fantasy","Fiction","3.78","2451","2022/03/18"
"61","","The Changeling","Zilpha Keatley Snyder","Fiction","Young Adult","Fantasy","4.18","1440","2022/03/18"
"62","","","","","","","","",""
"63","","The Changeling","Kate Horsley","Historical","Historical Fiction","Fiction","3.55","415","2022/03/18"
"64","","","","","","","","",""
"65","Changeling Detective","Shadows in the Starlight","Elaine Cunningham","Fantasy","Urban Fantasy","Fantasy","3.68","203","2022/03/18"
"66","Daughters of England","The Changeling","Philippa Carr","Historical","Historical Fiction","Romance","3.96","476","2022/03/18"
"67","","The Known World","Edward P. Jones","Historical","Historical Fiction","Fiction","3.81","40042","2022/03/18"
"68","","The Known World","Edward P. Jones","Historical","Historical Fiction","Fiction","3.81","40042","2022/03/18"
"69","","The Known World","Edward P. Jones","Historical","Historical Fiction","Fiction","3.81","40042","2022/03/18"
"70","","I Wish I Had Known That!: World's Greatest Money & Time Saving Baby Secrets Revealed!","Nicole Rae Painter","","","","4.25","4","2022/03/18"
"71","","Traders, Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives","Satyajit Das","Economics","Finance","Economics","3.84","1744","2022/03/18"
"72","Artesia)","Artesia: Adventures in the Known World","Mark Smylie","Fantasy","Games","Role Playing Games","4.18","56","2022/03/18"
"73","","The Known World","Edward P. Jones","Historical","Historical Fiction","Fiction","3.81","40042","2022/03/18"
"74","John McPhee Reader","The John McPhee Reader","John McPhee","Nonfiction","Writing","Essays","4.43","667","2022/03/18"
"75","","Uncommon Carriers","John McPhee","Nonfiction","Writing","Essays","3.96","2056","2022/03/18"
"76","","Heirs of General Practice","John McPhee","Nonfiction","Health","Medicine","4.15","331","2022/03/18"
"77","","The Control of Nature","John McPhee","Nonfiction","Science","Environment","4.25","4139","2022/03/18"
"78","Annals of the Former World","Annals of the Former World","John McPhee","Science","Nonfiction","Science","4.35","3786","2022/03/18"
"79","","Coming Into the Country","John McPhee","Nonfiction","Travel","Environment","4.22","6592","2022/03/18"
"80","","La Place de la Concorde Suisse","John McPhee","Nonfiction","History","Travel","3.93","878","2022/03/18"
"81","","Giving Good Weight","John McPhee","Nonfiction","Writing","Essays","4.25","633","2022/03/18"
"82","John McPhee Reader","The Second John McPhee Reader","John McPhee","Nonfiction","Writing","Essays","4.37","220","2022/03/18"
"83","Annals of the Former World","Rising from the Plains","John McPhee","Nonfiction","Science","Science","4.24","1593","2022/03/18"
"84","","Heidi","Loretta Krupinski","","","","4.53","19","2022/03/18"
"85","","The Heidi Chronicles","Wendy Wasserstein","Plays","Drama","Fiction","3.74","1660","2022/03/18"
"86","","The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic","Wendy Wasserstein","Plays","Drama","Plays","3.84","2813","2022/03/18"
"87","","Pandering","Heidi Fleiss","Nonfiction","Biography","","3.58","89","2022/03/18"
"88","Creating Keepsakes)","Love Your Handwriting","Heidi Swapp","Nonfiction","Art","Crafts","3.59","87","2022/03/18"
"89","","Active Literacy Across the Curriculum: Strategies for Reading, Writing, Speaking, and Listening","Heidi Hayes Jacobs","Teaching","","","3.91","33","2022/03/18"
"90","","Simply Beautiful Beaded Jewelry","Heidi Boyd","Art","Crafts","Crafts","3.76","66","2022/03/18"
"91","","Always Enough: God's Miraculous Provision Among the Poorest Children on Earth","Heidi Baker","Christian","Biography","Nonfiction","4.46","1076","2022/03/18"
"92","","Mapping the Big Picture: Integrating Curriculum & Assessment K-12","Heidi Hayes Jacobs","Education","Teaching","","3.68","81","2022/03/18"
"93","Heidi","Heidi","Johanna Spyri","Classics","Fiction","Childrens","4.01","184640","2022/03/18"
"94","","Getting Results with Curriculum Mapping","Heidi Hayes Jacobs","Education","Teaching","","3.25","59","2022/03/18"
"95","Rose Trilogy","Cinnamon and Roses","Heidi Betts","Romance","Historical Romance","Historical","3.86","91","2022/03/18"
"96","","There's Always Enough: The Miraculous Move of God in Mozambique","Rolland Baker","Christian","Biography","Nonfiction","4.46","1076","2022/03/18"
"97","","The Birthdays","Heidi Pitlor","Fiction","Contemporary","","2.86","423","2022/03/18"
"98","What to Expect)","What to Expect the First Year","Heidi Murkoff","Parenting","Nonfiction","Reference","3.9","17109","2022/03/18"
"99","","The Player's Handbook: The Ultimate Guide on Dating and Relationships","Heidi Fleiss","Self Help","","","3.69","39","2022/03/18"
"100","","Simply Beautiful Beading: 53 Quick and Easy Projects","Heidi Boyd","Art","Crafts","Nonfiction","3.78","92","2022/03/18"
