"","10000","","The Face of Another","Kōbō Abe","1964","Fiction","Asian Literature","Japanese Literature","3.77","3854","2022/03/30"
"","10001","","Kangaroo Notebook","Kōbō Abe","1991","Fiction","Asian Literature","Japanese Literature","3.48","1525","2022/03/30"
"","10002","","Three Plays: Involuntary Homicide / The Green Stockings / The Ghost is Here","Kōbō Abe","1993","Plays","Asian Literature","Japanese Literature","3.91","99","2022/03/30"
"","10003","","Friends","Kōbō Abe","1967","Plays","Asian Literature","Japanese Literature","3.66","156","2022/03/30"
"","10004","","Secret Rendezvous","Kōbō Abe","1977","Fiction","Cultural","Japan","3.57","1476","2022/03/30"
"","10005","","Fake Fish: The Theater Of Kobo Abe","Nancy Shields","1996","Asian Literature","Japanese Literature","","4.28","18","2022/03/30"
"","10006","","Oracle Night","Paul Auster","","Fiction","Literature","American","3.8","14576","2022/03/30"
"","10007","","Die Pest","Albert Camus","1947","Fiction","Classics","Philosophy","4.02","210606","2022/03/30"
"","10008","","Eleanor Rigby","Douglas Coupland","2004","Fiction","Cultural","Canada","3.66","9898","2022/03/30"
"","10009","","Homo Faber","Max Frisch","1957","Classics","Fiction","European Literature","3.73","21160","2022/03/30"
"","10010","","Max Frisch, Homo faber","Reinhard Meurer","1977","","","","2.0","1","2022/03/30"
"","10011","","Das Frauenbild In Den Romanen Stiller Und Homo Faber Von Max Frisch Im Lichte Der Analytischen Psychologie C.G. Jungs","Chieh Chien","1997","","","","4.0","1","2022/03/30"
"","10012","","Vom Modernen Roman Zur Antiken Tragodie: Interpretation Von Max Frischs Homo Faber","Manfred Leber","1990","","","","3.0","1","2022/03/30"
"","10013","","Erläuterungen Zu Max Frisch, Homo Faber","Bernd Matzkowski","","","","","3.83","6","2022/03/30"
"","10014","","Max Frisch: Stiller, Homo Faber Und Mein Name Sei Gantenbein","Frederick Alfred Lubich","","","","","4.2","5","2022/03/30"
"","10015","","Max Frisch: Homo faber. Inhalt, Hintergrund, Interpretation","Hildegard Hain","2010","","","","3.0","1","2022/03/30"
"","10016","","Lektürehilfen Max Frisch ""Homo Faber""","Manfred Eisenbeis","","","","","3.0","1","2022/03/30"
"","10017","","Homo faber","Max Frisch","1957","Classics","Fiction","European Literature","3.73","21160","2022/03/30"
"","10018","","Homo faber: Ein Bericht","Max Frisch","1957","Classics","Fiction","European Literature","3.73","21160","2022/03/30"
"","10019","","Max Frisch, Homo Faber: E. Motivanalyse:  Heinrich Von Kleist, Der Zweikampf:  D. Stellung D. Subjekts","Wassili Loukopoulos","","","","","2.0","1","2022/03/30"
