"","4001","","The House of God: Church Architecture, Style and History","Edward Norman","1990","Architecture","History","Christianity","4.14","14","2022/03/22"
"","4002","","The Constitution For The House Of God","Mark Duplantis","2006","","","","3.0","1","2022/03/22"
"","4003","","House of Many Gods","Kiana Davenport","2006","Historical","Historical Fiction","Fiction","3.97","743","2022/03/22"
"","4004","","The Pilgrimage","Paulo Coelho","1987","Fiction","Philosophy","Spirituality","3.65","54747","2022/03/22"
"","4005","","The Fifth Mountain","Paulo Coelho","1996","Fiction","Historical","Historical Fiction","3.63","41324","2022/03/22"
"","4006","","The Valkyries","Paulo Coelho","1988","Fiction","Spirituality","Philosophy","3.32","24590","2022/03/22"
"","4007","On the Seventh Day","A Orillas del Rio Piedra Me Sente y Llore","Paulo Coelho","1994","Fiction","Romance","Philosophy","3.57","94292","2022/03/22"
"","4008","On the Seventh Day","The Devil and Miss Prym","Paulo Coelho","2000","Fiction","Philosophy","Novels","3.61","65109","2022/03/22"
"","4009","","Nine Stories","J.D. Salinger","1953","Short Stories","Fiction","Classics","4.18","140011","2022/03/22"
"","4010","","The First Forty-Nine Stories","Ernest Hemingway","1938","Short Stories","Fiction","Classics","3.93","1957","2022/03/22"
"","4011","","The Catcher In The Rye & Nine Stories: Notes","Coles Editorial Board","","Reference","","","5.0","2","2022/03/22"
"","4012","","Night Lives: Nine Stories of the Dark Fantastic","Phyllis Eisenstein","","","","","4.5","4","2022/03/22"
"","4013","","The Inland Whale: Nine Stories Retold from California Indian Legends, With a New Foreword by Karl Kroeber","Theodora Kroeber","1963","Short Stories","Fiction","Fantasy","4.05","75","2022/03/22"
"","4014","","The Sun Rises: and Other Questions About Time and Seasons","Brenda Walpole","1996","Science","Nonfiction","Childrens","3.99","90","2022/03/22"
"","4015","Bloom's Modern Critical Interpretations","Ernest Hemingway's the Sun Also Rises","Harold Bloom","","","","","3.33","85","2022/03/22"
"","4016","","One Sun Rises: An African Wildlife Counting Book","Wendy Hartmann","1994","Animals","Science","Mathematics","3.44","9","2022/03/22"
"","4017","Kindle County Legal Thriller","Presumed Innocent","Scott Turow","1987","Mystery","Fiction","Thriller","4.1","112619","2022/03/22"
"","4018","Kindle County Legal Thriller","Presumed Innocent","Scott Turow","1987","Mystery","Fiction","Thriller","4.1","112619","2022/03/22"
"","4019","","Scott Turow Omnibus: Includes One L, the Laws of Our Fathers, Pleading Guilty, the Burden of Proof, Presumed Innocent","Scott Turow","","Fiction","","","4.15","41","2022/03/22"
"","4020","Kindle County Legal Thriller","Presumed Innocent","Scott Turow","1987","Mystery","Fiction","Thriller","4.1","112619","2022/03/22"
"","4021","","American Psycho","Bret Easton Ellis","1991","Fiction","Horror","Classics","3.82","263897","2022/03/22"
"","4022","","","","","","","","","","2022/03/22"
"","4023","","American Psycho","Bret Easton Ellis","1991","Fiction","Horror","Classics","3.82","263897","2022/03/22"
"","4024","Continuum Contemporaries","Bret Easton Ellis's American Psycho: A Reader's Guide","Julian Murphet","2002","Nonfiction","Criticism","Literary Criticism","3.92","212","2022/03/22"
"","4025","James Bond","From Russia with Love","Ian Fleming","1957","Fiction","Thriller","Spy Thriller","3.9","33676","2022/03/22"
"","4026","","James Bond 007: From Russia With Love: Prima Official Game Guide","Prima Publishing","","","","","3.5","6","2022/03/22"
