"1001","","Millionaire Women Next Door: The Many Journeys of Successful American Businesswomen","Thomas J. Stanley","Economics","Finance","Nonfiction","3.87","709","2022/03/19"
"1002","","Retire Dollar $Mart","Jim Miller","","","","0.0","0","2022/03/19"
"1003","","The Millionaire Next Door: The Surprising Secrets of America's Wealthy","Thomas J. Stanley","Economics","Finance","Nonfiction","4.05","92305","2022/03/19"
"1004","","Think and Grow Rich","Napoleon Hill","Nonfiction","Self Help","Personal Development","4.18","269710","2022/03/19"
"1005","","Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century","Napoleon Hill","Nonfiction","Self Help","Personal Development","4.18","269710","2022/03/19"
"1006","","Think and Grow Rich!","Napoleon Hill","Nonfiction","Self Help","Personal Development","4.18","269710","2022/03/19"
"1007","","Think and Grow Rich","Napoleon Hill","Nonfiction","Self Help","Personal Development","4.18","269710","2022/03/19"
"1008","","Think and Grow Rich","Napoleon Hill","Nonfiction","Self Help","Personal Development","4.18","269710","2022/03/19"
"1009","","The Think and Grow Rich Action Pack","Napoleon Hill","Nonfiction","Self Help","Personal Development","4.18","269710","2022/03/19"
"1010","","Think and Grow Rich","Napoleon Hill","Nonfiction","Self Help","Personal Development","4.18","269710","2022/03/19"
"1011","","Think and Grow Rich","Napoleon Hill","Nonfiction","Self Help","Personal Development","4.18","269710","2022/03/19"
"1012","","Think and Grow Rich","Napoleon Hill","Nonfiction","Self Help","Personal Development","4.18","269710","2022/03/19"
"1013","","Think and Grow Rich: Instant Motivator","Napoleon Hill","Nonfiction","Self Help","Personal Development","4.18","269710","2022/03/19"
"1014","","Pragmatic Version Control: Using Subversion (The Pragmatic Starter Kit Series)","Mike  Mason","Computer Science","Programming","Reference","3.59","227","2022/03/19"
"1015","","Version Control with Subversion","Ben Collins-Sussman","Computer Science","Programming","Computer Science","3.6","147","2022/03/19"
"1016","","Practical Subversion","Garrett Rooney","Computer Science","Technical","","3.83","6","2022/03/19"
"1017","","Control and Subversion: Gender Relations  in Tajikistan","Colette Harris","","","","4.29","7","2022/03/19"
"1018","","Bodies of Subversion: A Secret History of Women and Tattoo","Margot Mifflin","Nonfiction","History","Art","4.02","511","2022/03/19"
"1019","","Politics of Subversion","Antonio Negri","Philosophy","Politics","Nonfiction","3.31","29","2022/03/19"
"1020","","Dreams of Subversion in Medieval Jewish Art and Literature","Marc Michael Epstein","Literature","Jewish","","3.67","9","2022/03/19"
"1021","","Recovering Subversion: FEMINIST POLITICS BEYOND THE LAW","Nivedita Menon","Feminism","Cultural","India","4.32","22","2022/03/19"
"1022","","Read My Lips: Sexual Subversion and the End of Gender","Riki Anne Wilchins","LGBT","Queer","Gender","3.98","271","2022/03/19"
"1023","","101 Ways to Massively Increase the Value of Your Real Estate without Spending Much Money","Dolf de Roos","","","","3.96","46","2022/03/19"
"1024","","Real Estate Riches: How to Become Rich Using Your Banker's Money","Dolf de Roos","Business","Economics","Finance","4.09","4610","2022/03/19"
"1025","","The Insider's Guide to 52 Homes in 52 Weeks: Acquire Your Real Estate Fortune Today","Dolf de Roos","","","","3.96","56","2022/03/19"
"1026","","Real Estate Riches (Rich Dad's Advisors (Audio)) [ABRIDGED] (Rich Dad's Advisors (Audio))","Dolf de Roos","Business","Economics","Finance","4.09","4610","2022/03/19"
"1027","","The Insider's Guide to Tax-Free Real Estate Investments: Retire Rich Using Your IRA","Diane Kennedy","","","","3.0","7","2022/03/19"
"1028","","Extraordinary Profits From Ordinary Properties","Dolf de Roos","Business","","","2.0","2","2022/03/19"
"1029","","The New Zealand Investor's Guide To Making Money In Residential Real Estate","Jan Somers","Business","","","4.0","4","2022/03/19"
"1030","","Real Estate Riches: How to Become Rich Using Your Banker's Money","Dolf de Roos","Business","Economics","Finance","4.09","4610","2022/03/19"
"1031","","Trump: Think Like a Billionaire: Everything You Need to Know About Success, Real Estate, and Life","Donald J. Trump","Business","Nonfiction","Economics","3.62","1989","2022/03/19"
"1032","","Trump: The Art of the Deal","Donald J. Trump","Business","Biography","Nonfiction","3.66","18917","2022/03/19"
"1033","","Trump Strategies for Real Estate: Billionaire Lessons for the Small Investor","George H. Ross","Business","Economics","Finance","4.11","708","2022/03/19"
"1034","","Trump University Real Estate 101: Building Wealth with Real Estate Investments","Gary W. Eldred","Business","","","3.6","201","2022/03/19"
"1035","","Trump: How to Get Rich","Donald J. Trump","Business","Nonfiction","Self Help","3.35","2579","2022/03/19"
"1036","","Trump: The Way to the Top: The Best Business Advice I Ever Received","Donald J. Trump","Business","Nonfiction","Self Help","3.38","370","2022/03/19"
"1037","","Trump","Donald J. Trump","Business","Biography","Nonfiction","3.59","457","2022/03/19"
"1038","","Trump: Surviving at the Top","Donald J. Trump","Business","Biography","Self Help","3.51","192","2022/03/19"
"1039","","How to Build a Fortune [With CD-ROM with Workbook and Trump Cards and DVD]","Donald J. Trump","","","","2.92","38","2022/03/19"
"1040","","Real Estate Goldmine: How to get Rich Investing in Pre-Foreclosures (Audio Business Course)","Donald J. Trump","","","","2.81","32","2022/03/19"
"1041","","Trump: The Best Real Estate Advice I Ever Received: 100 Top Experts Share Their Strategies","Donald J. Trump","Business","Nonfiction","Economics","3.56","224","2022/03/19"
"1042","","Three Master Secrets of Real Estate Success [With CD-ROM with Workbook and Trump Cards]","Curtis Oakes","","","","3.35","26","2022/03/19"
"1043","","I Ain't Scared of You: Bernie Mac on How Life Is","Bernie Mac","Nonfiction","Humor","Biography","4.06","172","2022/03/19"
"1044","","Maybe You Never Cry Again","Bernie Mac","Autobiography","Memoir","Humor","4.29","513","2022/03/19"
"1045","","Bernie Mac","Joanne Mattern","","","","5.0","2","2022/03/19"
"1046","","Love Medicine and Miracles CD-ROM for Windows & Mac","Bernie S. Siegel","Health","Nonfiction","Self Help","4.26","4133","2022/03/19"
"1047","","The Beginner's Guide to Real Estate Investing","Gary W. Eldred","Business","Economics","Finance","3.73","84","2022/03/19"
"1048","","The Art of Deals and Dreams: The Complete Beginner's Guide to Intelligent Real Estate Investing.","Carlos Redmond","","","","5.0","1","2022/03/19"
"1049","","Jump Start: A Beginner's Guide to Basic Real Estate Investing","Hasani K Bakari","","","","0.0","0","2022/03/19"
"1050","","Riches in Real Estate: A Beginner's Guide to Group Investing","Robert Irwin","","","","0.0","0","2022/03/19"
"1051","","Investing Without Losing: The Beginner's Guide to Real Estate Tax Lien and Tax Deed Auctions","Don Sausa","","","","4.0","2","2022/03/19"
"1052","","The Richest Man in Babylon","George S. Clason","Economics","Finance","Business","4.26","149395","2022/03/19"
"1053","","The Richest Man in Babylon","George S. Clason","Economics","Finance","Business","4.26","149395","2022/03/19"
"1054","","Richest Man In Babylon For Today","Fred Siegel","Nonfiction","","","3.9","70","2022/03/19"
"1055","","The Richest Man in Babylon: 2the Success Secrets of the Ancients","George S. Clason","Economics","Finance","Business","4.26","149395","2022/03/19"
"1056","","The Richest Man in Babylon: The Success Secrets of the Ancients","George S. Clason","Economics","Finance","Business","4.26","149395","2022/03/19"
"1057","","The Richest Man in Babylon","Robert B. Goodman","Economics","Finance","","4.17","120","2022/03/19"
"1058","","The Richest Man In Babylon","George S. Clason","Economics","Finance","Business","4.26","149395","2022/03/19"
"1059","Nicholai Hel","Shibumi","Trevanian","Fiction","Thriller","Mystery","4.21","15415","2022/03/19"
"1060","","Shibumi and the Kitemaker","Mercer Mayer","Childrens","Picture Books","Cultural","4.06","88","2022/03/19"
"1061","","Trevanian: Four Complete Novels: The Eiger Sanction / The Loo Sanction / The Main / Shibumi","Trevanian","Thriller","Fiction","Spy Thriller","4.36","132","2022/03/19"
"1062","Nicholai Hel","Shibumi","Trevanian","Fiction","Thriller","Mystery","4.21","15415","2022/03/19"
"1063","Nicholai Hel","Shibumi","Trevanian","Fiction","Thriller","Mystery","4.21","15415","2022/03/19"
"1064","Nicholai Hel","Shibumi","Trevanian","Fiction","Thriller","Mystery","4.21","15415","2022/03/19"
"1065","Nicholai Hel","Shibumi","Trevanian","Fiction","Thriller","Mystery","4.21","15415","2022/03/19"
"1066","Nicholai Hel","Shibumi","Trevanian","Fiction","Thriller","Mystery","4.21","15415","2022/03/19"
"1067","","1776","David McCullough","History","Nonfiction","North American Hi...","4.07","210427","2022/03/19"
"1068","","1776","Peter Stone","Plays","History","Plays","4.21","1341","2022/03/19"
"1069","A History of Britain","The Fate of Empire, 1776-2000","Simon Schama","History","Nonfiction","European Literature","4.06","1086","2022/03/19"
"1070","","The Highland Scots of North Carolina, 1732-1776","Duane Meyer","History","Nonfiction","North American Hi...","3.82","71","2022/03/19"
"1071","","The 1776 Quilt: Heartache, Heritage, and Happiness","Pam Holland","","","","4.4","10","2022/03/19"
"1072","Voices from Colonial America","Delaware 1638-1776","National Geographic Kids","","","","5.0","1","2022/03/19"
"1073","","The Crescent Obscured: The United States and the Muslim World, 1776-1815","Robert J. Allison","History","North American Hi...","American History","3.7","47","2022/03/19"
"1074","","If You Were There in 1776","Barbara Brenner","History","Nonfiction","North American Hi...","3.78","23","2022/03/19"
"1075","","Gap Creek","Robert Morgan","Fiction","Historical","Historical Fiction","3.74","51369","2022/03/19"
"1076","","Gap Creek","Robert Morgan","Fiction","Historical","Historical Fiction","3.74","51369","2022/03/19"
"1077","","Gap Creek","Robert Morgan","Fiction","Historical","Historical Fiction","3.74","51369","2022/03/19"
"1078","House of Earth","The Good Earth","Pearl S. Buck","Classics","Fiction","Historical","3.99","235221","2022/03/19"
"1079","","For the Good of the Earth and Sun: Teaching Poetry","Georgia Heard","Poetry","Teaching","Education","4.28","80","2022/03/19"
"1080","","The Good Earth (Cliffs Notes)","Stephen Veo Huntley","","","","4.0","11","2022/03/19"
"1081","","The Eco-Foods Guide: What's Good for the Earth is Good for You!","Cynthia Barstow","","","","3.09","11","2022/03/19"
"1082","House of Earth","The Good Earth","Pearl S. Buck","Classics","Fiction","Historical","3.99","235224","2022/03/19"
"1083","House of Earth","The Good Earth","Pearl S. Buck","Classics","Fiction","Historical","3.99","235224","2022/03/19"
"1084","","From the Good Earth: A Celebration of Growing Food Around the World","Michael Ableman","Nonfiction","Food and Drink","Food","4.22","37","2022/03/19"
"1085","House of Earth","The Good Earth","Pearl S. Buck","Classics","Fiction","Historical","3.99","235224","2022/03/19"
"1086","","Walk Gently This Good Earth","Margaret Craven","Fiction","","","3.47","91","2022/03/19"
"1087","","","","","","","","","2022/03/19"
"1088","","The Purpose-Driven Life","Rick Warren","Christian","Nonfiction","Religion","3.95","252376","2022/03/19"
"1089","","Daily Inspiration for the Purpose Driven Life: Scriptures and Reflections from the 40 Days of Purpose","Rick Warren","Christian","Religion","Religion","4.4","3122","2022/03/19"
"1090","","Purpose Driven Life - For Commuters: What on Earth Am I Here For?","Rick Warren","Christian","Nonfiction","Religion","3.95","252376","2022/03/19"
"1091","","Purpose Driven Life Journal: What on Earth Am I Here For?","Rick Warren","Christian","Self Help","Spirituality","4.23","1303","2022/03/19"
"1092","","","","","","","","","2022/03/19"
"1093","","Purpose Driven Life","Rick Warren","Christian","Nonfiction","Religion","3.95","252376","2022/03/19"
"1094","","","","","","","","","2022/03/19"
"1095","","A Catholic Perspective On The Purpose Driven Life","Joseph M. Champlin","","","","3.85","20","2022/03/19"
"1096","","Daily Inspiration for the Purpose Driven Life","Rick Warren","Christian","Religion","Religion","4.4","3122","2022/03/19"
